MESS_DATUM,T_aussen_C,Heizlast_kW
2019042800,7.8,667.339085
2019042801,8.0,656.3991
2019042802,8.0,656.3991
2019042803,7.7,672.8090775000001
2019042804,6.7,727.5090025
2019042805,7.2,700.15904
2019042806,7.7,539.4490775
2019042807,8.0,300.8791
2019042808,9.0,0.0
2019042809,9.8,0.0
2019042810,10.1,0.0
2019042811,10.2,0.0
2019042812,11.4,0.0
2019042813,10.8,0.0
2019042814,11.0,0.0
2019042815,11.5,0.0
2019042816,10.1,0.0
2019042817,10.8,0.0
2019042818,11.4,0.0
2019042819,9.0,157.21917500000004
2019042820,6.7,727.5090025
2019042821,5.4,798.618905
2019042822,4.2,864.2588149999999
2019042823,3.9,880.6687925000001
2019042900,3.6,897.0787699999998
2019042901,2.3,968.1886724999999
2019042902,2.2,973.658665
2019042903,1.5,1011.9486125000001
2019042904,1.2,1028.35859
2019042905,1.5,989.7086125000001
2019042906,2.8,607.47871
2019042907,5.0,0.0
2019042908,7.8,0.0
2019042909,10.3,0.0
2019042910,13.5,0.0
2019042911,13.5,0.0
2019042912,14.5,0.0
2019042913,15.4,0.0
2019042914,15.4,0.0
2019042915,15.3,0.0
2019042916,14.7,0.0
2019042917,14.2,0.0
2019042918,11.3,164.76934749999992
2019042919,10.9,364.4093175
2019042920,11.1,486.8293325
2019042921,10.9,497.7693175
2019042922,10.1,541.5292575000001
2019042923,10.3,530.5892725
2019043000,10.1,541.5292575000001
2019043001,9.5,574.3492125
2019043002,9.4,579.819205
2019043003,9.5,574.3492125
2019043004,9.5,574.3492125
2019043005,9.4,557.579205
2019043006,10.3,241.70927249999997
2019043007,10.9,0.0
2019043008,11.8,0.0
2019043009,13.5,0.0
2019043010,14.4,0.0
2019043011,15.5,0.0
2019043012,17.1,0.0
2019043013,17.3,0.0
2019043014,17.5,0.0
2019043015,18.8,0.0
2019043016,18.0,0.0
2019043017,17.2,0.0
2019043018,15.6,0.0
2019043019,13.6,0.0
2019043020,11.6,459.47937
2019043021,10.7,508.70930250000004
2019043022,9.1,596.2291825
2019043023,8.4,634.51913
2019050100,7.1,705.6290325
2019050101,6.9,716.5690175
2019050102,6.0,765.79895
2019050103,5.3,804.0888974999999
2019050104,6.5,738.4489875
2019050105,7.1,683.3890325
2019050106,7.4,511.4590549999999
2019050107,7.5,239.2690625
2019050108,8.6,68.05914500000002
2019050109,9.4,0.0
2019050110,10.3,0.0
2019050111,11.3,0.0
2019050112,12.5,0.0
2019050113,13.6,0.0
2019050114,14.0,0.0
2019050115,14.7,0.0
2019050116,15.0,0.0
2019050117,14.7,0.0
2019050118,13.4,0.0
2019050119,11.6,126.11936999999999
2019050120,9.7,563.4092275
2019050121,7.9,661.8690925000001
2019050122,7.9,661.8690925000001
2019050123,7.6,678.27907
2019050200,6.5,738.4489875
2019050201,5.6,787.6789200000001
2019050202,5.3,804.0888974999999
2019050203,4.8,831.43886
2019050204,5.2,809.55889
2019050205,6.4,699.43898
2019050206,7.0,422.21902500000004
2019050207,8.2,0.0
2019050208,9.0,0.0
2019050209,10.0,0.0
2019050210,10.7,0.0
2019050211,12.1,0.0
2019050212,13.8,0.0
2019050213,14.7,0.0
2019050214,15.4,0.0
2019050215,16.0,0.0
