STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
2667;2024032812;3;  11.3;  48.0;eor
2667;2024032813;3;  10.0;  65.0;eor
2667;2024032814;3;  12.2;  54.0;eor
2667;2024032815;3;  11.5;  51.0;eor
2667;2024032816;3;   9.9;  61.0;eor
2667;2024032817;3;   9.8;  62.0;eor
2667;2024032818;3;   8.9;  67.0;eor
2667;2024032819;3;   8.1;  68.0;eor
2667;2024032820;3;   9.6;  57.0;eor
2667;2024032821;3;  10.0;  56.0;eor
2667;2024032822;3;   9.5;  59.0;eor
2667;2024032823;3;   8.7;  63.0;eor
2667;2024032900;3;   8.1;  64.0;eor
2667;2024032901;3;   8.4;  63.0;eor
2667;2024032902;3;   8.5;  63.0;eor
2667;2024032903;3;   8.7;  62.0;eor
2667;2024032904;3;   8.4;  64.0;eor
2667;2024032905;3;   8.7;  63.0;eor
2667;2024032906;3;   8.3;  76.0;eor
2667;2024032907;3;   9.0;  80.0;eor
2667;2024032908;3;  10.4;  76.0;eor
2667;2024032909;3;  11.2;  75.0;eor
2667;2024032910;3;  12.5;  72.0;eor
2667;2024032911;3;  13.3;  69.0;eor
2667;2024032912;3;  13.0;  70.0;eor
2667;2024032913;3;  12.7;  77.0;eor
2667;2024032914;3;  12.6;  79.0;eor
2667;2024032915;3;  13.6;  71.0;eor
2667;2024032916;3;  13.6;  64.0;eor
2667;2024032917;3;  12.8;  68.0;eor
2667;2024032918;3;  10.8;  84.0;eor
2667;2024032919;3;  10.6;  83.0;eor
2667;2024032920;3;  10.5;  84.0;eor
2667;2024032921;3;  10.2;  86.0;eor
2667;2024032922;3;  10.3;  88.0;eor
2667;2024032923;3;   9.5;  94.0;eor
2667;2024033000;3;   9.5;  96.0;eor
2667;2024033001;3;   9.2;  96.0;eor
2667;2024033002;3;   8.7;  96.0;eor
2667;2024033003;3;   8.9;  94.0;eor
2667;2024033004;3;   8.9;  94.0;eor
2667;2024033005;3;  10.0;  88.0;eor
2667;2024033006;3;  10.4;  85.0;eor
2667;2024033007;3;  10.8;  83.0;eor
2667;2024033008;3;  12.2;  76.0;eor
2667;2024033009;3;  14.1;  68.0;eor
2667;2024033010;3;  15.7;  60.0;eor
2667;2024033011;3;  15.9;  61.0;eor
2667;2024033012;3;  16.1;  57.0;eor
